modo,ejecucion,inicio_ms,fin_ms,total_ms,decision_ms,rama,rama_ms,otra_cancelada,detalle,traza,umbral,dificultad,maximo_primo
secuencial,8,1761447808605,1761447810509,1903,31,A,1871,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1826020,0,5,500000
secuencial,18,1761447808605,1761447811612,3007,215,A,2791,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1820472,0,5,500000
secuencial,3,1761447808604,1761447811645,3040,209,A,2830,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1811735,0,5,500000
secuencial,24,1761447808605,1761447811685,3080,219,A,2861,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1826702,0,5,500000
secuencial,27,1761447808605,1761447811691,3086,260,A,2826,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1830256,0,5,500000
secuencial,7,1761447808605,1761447811701,3096,220,A,2875,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1818097,0,5,500000
secuencial,30,1761447808605,1761447811750,3144,242,A,2902,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1811460,0,5,500000
secuencial,11,1761447808605,1761447811756,3150,216,A,2934,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1826304,0,5,500000
secuencial,20,1761447808605,1761447811757,3151,217,A,2934,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1827236,0,5,500000
secuencial,4,1761447808605,1761447811780,3175,244,A,2930,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1817848,0,5,500000
secuencial,17,1761447808605,1761447811784,3179,228,A,2950,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1823387,0,5,500000
secuencial,15,1761447808605,1761447811792,3187,242,A,2945,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1823054,0,5,500000
secuencial,16,1761447808605,1761447811823,3218,220,A,2998,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1817443,0,5,500000
secuencial,28,1761447808605,1761447811827,3222,214,A,3008,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1831851,0,5,500000
secuencial,6,1761447808605,1761447811830,3225,228,A,2996,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1819946,0,5,500000
secuencial,22,1761447808605,1761447811830,3225,228,A,2997,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1826613,0,5,500000
secuencial,25,1761447808605,1761447811832,3227,242,A,2984,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1824570,0,5,500000
secuencial,1,1761447808604,1761447811841,3236,221,A,3014,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1823816,0,5,500000
secuencial,5,1761447808605,1761447811844,3239,221,A,3018,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1818217,0,5,500000
secuencial,9,1761447808605,1761447811857,3252,243,A,3008,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1816522,0,5,500000
secuencial,29,1761447808605,1761447811859,3254,218,A,3036,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1820496,0,5,500000
secuencial,10,1761447808605,1761447811860,3255,241,A,3014,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1826020,0,5,500000
secuencial,23,1761447808605,1761447811863,3258,242,A,3015,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1834126,0,5,500000
secuencial,12,1761447808605,1761447811863,3258,243,A,3015,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1822626,0,5,500000
secuencial,26,1761447808605,1761447811873,3268,254,A,3013,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1832542,0,5,500000
secuencial,19,1761447808605,1761447811877,3272,256,A,3016,false,00000ce6e4526404b256bcfe936e5fd554f02ae09de78b1fddc1e98ab78cc494 (intento=901390),1817907,0,5,500000
